method,output,ssim,lpips,e_ssim,l_c,l_s
adain,000000078420__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1663,0.6723,0.1079,2.8656,0.5943
adain,000000078420__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.2173,0.5959,0.1355,2.3762,2.2747
adain,000000078420__Pop_Art__peter-max_composition-red-green-1979.jpg,0.3083,0.53,0.4157,2.5219,2.1972
adain,000000078420__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.2113,0.5982,0.1283,2.6935,1.818
adain,000000078420__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.3824,0.53,0.3108,2.3487,0.5895
adain,000000078420__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.416,0.5848,0.3944,2.7312,0.5238
adain,000000078420__Romanticism__gustave-dore_paradise-lost-4.jpg,0.2953,0.6482,0.1942,2.6669,1.2735
adain,000000078420__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.3262,0.5858,0.2518,2.5292,1.4443
adain,000000078420__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.3033,0.4915,0.318,2.1842,2.0681
adain,000000085682__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.4683,0.5489,0.415,2.7543,1.153
adain,000000085682__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.4292,0.6149,0.3632,2.6264,1.1551
adain,000000085682__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.3852,0.7083,0.368,2.9437,0.7758
adain,000000085682__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.3398,0.866,0.2738,3.5202,0.5622
adain,000000085682__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.4401,0.816,0.3211,2.8512,0.6325
adain,000000085682__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.3527,0.6641,0.2588,2.5391,1.531
adain,000000085682__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.3705,0.8116,0.2709,2.5793,0.814
adain,000000085682__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.3967,0.6215,0.3559,2.4925,2.8735
adain,000000085682__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.3846,0.77,0.2586,2.883,0.9254
adain,000000085682__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.2956,0.6497,0.2394,2.6965,1.5013
adain,000000085682__Minimalism__mario-schifano_untitled-1963.jpg,0.3369,1.0599,0.383,3.1262,1.4905
adain,000000085682__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1917,0.634,0.1033,2.5177,0.6219
adain,000000085682__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.1849,0.5954,0.1325,2.5324,2.4436
adain,000000085682__Pop_Art__peter-max_composition-red-green-1979.jpg,0.3757,0.5833,0.4383,2.6421,2.5005
adain,000000085682__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.2322,0.7232,0.1282,2.5339,1.768
adain,000000085682__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.3848,0.6373,0.2586,2.2779,0.5164
adain,000000085682__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.3694,0.7352,0.3851,2.7157,0.5301
adain,000000085682__Romanticism__gustave-dore_paradise-lost-4.jpg,0.3178,0.6061,0.2435,2.4719,1.203
adain,000000085682__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.3632,0.6751,0.2683,2.6206,1.4514
adain,000000085682__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.343,0.7023,0.3148,2.5923,2.511
adain,000000094157__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.3804,0.6231,0.23,2.8981,1.1864
adain,000000094157__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.3237,0.6376,0.2375,2.6795,1.0142
adain,000000094157__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.2692,0.703,0.2506,2.9846,0.7683
adain,000000094157__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.3595,0.8255,0.1887,3.5195,0.5208
adain,000000094157__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.3784,0.8332,0.1881,2.9693,0.5992
adain,000000094157__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.2379,0.6556,0.12,2.6262,1.6502
adain,000000094157__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.3523,0.8049,0.1792,2.6931,0.8413
adain,000000094157__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.3071,0.6042,0.2123,2.4656,2.341
adain,000000094157__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.3565,0.7534,0.1694,2.9749,0.839
adain,000000094157__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.1858,0.6741,0.145,2.8522,1.5177
adain,000000094157__Minimalism__mario-schifano_untitled-1963.jpg,0.4729,0.9878,0.4842,2.9812,1.3212
adain,000000094157__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1679,0.6427,0.0655,2.5835,0.6266
adain,000000094157__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.143,0.6427,0.0781,2.5785,2.3381
adain,000000094157__Pop_Art__peter-max_composition-red-green-1979.jpg,0.4321,0.6007,0.3927,2.7432,2.014
adain,000000094157__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.2201,0.7004,0.0801,2.5214,1.7411
adain,000000094157__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.3893,0.5708,0.2005,2.262,0.5279
adain,000000094157__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.2699,0.7116,0.2972,2.7981,0.5578
adain,000000094157__Romanticism__gustave-dore_paradise-lost-4.jpg,0.1866,0.6502,0.1145,2.4896,1.4288
adain,000000094157__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.2606,0.6703,0.1336,2.7298,1.3958
adain,000000094157__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.39,0.6575,0.2597,2.583,2.2381
adain,000000098633__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.5545,0.5527,0.5821,2.4228,1.0386
adain,000000098633__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.4254,0.5334,0.3871,2.2325,1.032
adain,000000098633__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.4643,0.6417,0.4732,2.6126,0.7389
adain,000000098633__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.3785,0.7739,0.2922,3.4444,0.5434
adain,000000098633__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.4849,0.7775,0.4396,2.3935,0.5683
adain,000000098633__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.2871,0.5648,0.246,2.4173,1.5364
adain,000000098633__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.4219,0.6326,0.3162,2.2068,0.7546
adain,000000098633__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.3091,0.5713,0.2825,2.4514,2.472
adain,000000098633__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.4121,0.614,0.3275,2.4141,0.7849
adain,000000098633__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.3025,0.581,0.2569,2.4435,1.321
adain,000000098633__Minimalism__mario-schifano_untitled-1963.jpg,0.458,0.9675,0.5155,3.2626,1.3478
adain,000000098633__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1513,0.6709,0.0798,2.7347,0.5936
adain,000000098633__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.1334,0.6662,0.084,2.627,2.165
adain,000000098633__Pop_Art__peter-max_composition-red-green-1979.jpg,0.3659,0.5621,0.4698,2.5145,1.982
adain,000000098633__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.1592,0.6876,0.0946,2.7678,1.9513
adain,000000098633__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.3527,0.5831,0.2734,2.3331,0.5136
adain,000000098633__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.4933,0.5381,0.5115,2.1261,0.5312
adain,000000098633__Romanticism__gustave-dore_paradise-lost-4.jpg,0.2901,0.6525,0.2747,2.5636,1.2025
adain,000000098633__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.2855,0.593,0.2581,2.5083,1.3886
adain,000000098633__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.3061,0.5815,0.324,2.275,2.0133
adain,000000106912__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.4699,0.5753,0.4876,2.8416,1.266
adain,000000106912__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.4372,0.6241,0.4147,2.5653,1.1945
adain,000000106912__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.3909,0.6636,0.472,2.684,0.7749
adain,000000106912__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.4421,0.7605,0.3032,3.4002,0.5329
adain,000000106912__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.507,0.8001,0.4236,2.7569,0.6345
adain,000000106912__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.2968,0.6409,0.2378,2.7276,1.6695
adain,000000106912__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.4269,0.7179,0.3635,2.577,0.8106
adain,000000106912__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.362,0.6158,0.3426,2.6133,2.8331
adain,000000106912__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.4581,0.6685,0.345,2.6773,0.8773
adain,000000106912__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.2173,0.6552,0.2268,2.7142,1.5627
adain,000000106912__Minimalism__mario-schifano_untitled-1963.jpg,0.574,0.9614,0.6043,2.8342,1.1513
adain,000000106912__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1813,0.6756,0.0846,2.6621,0.6519
adain,000000106912__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.1562,0.6771,0.098,2.7747,2.4728
adain,000000106912__Pop_Art__peter-max_composition-red-green-1979.jpg,0.5077,0.5783,0.5208,2.8246,2.2374
adain,000000106912__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.1994,0.7046,0.0965,2.74,1.7624
adain,000000106912__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.4211,0.6102,0.3021,2.3786,0.5092
adain,000000106912__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.3891,0.6684,0.4995,2.6446,0.569
adain,000000106912__Romanticism__gustave-dore_paradise-lost-4.jpg,0.2469,0.6578,0.2353,2.5418,1.2918
adain,000000106912__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.3401,0.6589,0.2774,2.7869,1.5761
adain,000000106912__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.4491,0.6238,0.402,2.5681,2.4806
adain,000000116208__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.3283,0.5762,0.3127,2.8441,1.1365
adain,000000116208__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.3112,0.553,0.3116,2.384,0.9995
adain,000000116208__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.2696,0.6598,0.2839,3.1923,0.8466
adain,000000116208__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.1954,0.8462,0.2201,3.6935,0.5109
adain,000000116208__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.3199,0.7244,0.3329,2.6975,0.4859
adain,000000116208__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.3166,0.5313,0.2816,2.4046,1.4995
adain,000000116208__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.3129,0.6542,0.3101,2.522,0.8852
adain,000000116208__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.3508,0.4832,0.3168,2.2245,2.4832
adain,000000116208__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.2879,0.6465,0.2799,2.8813,0.8571
adain,000000116208__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.2917,0.5253,0.2561,2.3267,1.447
adain,000000116208__Minimalism__mario-schifano_untitled-1963.jpg,0.2081,1.0141,0.226,3.5214,1.3502
adain,000000116208__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1572,0.6371,0.1323,2.9517,0.6474
adain,000000116208__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.2061,0.5544,0.1497,2.3938,2.0627
adain,000000116208__Pop_Art__peter-max_composition-red-green-1979.jpg,0.2125,0.5698,0.2919,2.6427,2.057
adain,000000116208__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.188,0.6277,0.1586,2.7414,1.9046
adain,000000116208__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.3278,0.5248,0.3268,2.3278,0.5457
adain,000000116208__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.2854,0.6071,0.3153,2.6539,0.6008
adain,000000116208__Romanticism__gustave-dore_paradise-lost-4.jpg,0.2434,0.5992,0.1984,2.7332,1.2504
adain,000000116208__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.2958,0.5552,0.2945,2.3162,1.4112
adain,000000116208__Ukiyo_e__kitagawa-utamaro_not_detected_233134.jpg,0.2371,0.573,0.2991,2.405,1.9629
adain,000000135872__Abstract_Expressionism__paul-jenkins_not_detected_235703.jpg,0.4813,0.5395,0.4886,2.4865,1.1778
adain,000000135872__Art_Nouveau_Modern__nicholas-roerich_oze-1914.jpg,0.4491,0.5684,0.3917,2.3949,1.0461
adain,000000135872__Baroque__rembrandt_portrait-of-nicolas-van-bambeeck-1641.jpg,0.4523,0.5343,0.4333,2.7589,0.7528
adain,000000135872__Color_Field_Painting__leon-berkowitz_dark-light-rose-gold-1978.jpg,0.3526,0.8389,0.2397,3.5538,0.5726
adain,000000135872__Cubism__salvador-dali_cubist-composition-portrait-of-a-seated-person-holding-a-letter.jpg,0.4384,0.6923,0.3873,2.5214,0.5509
adain,000000135872__Early_Renaissance__pietro-perugino_st-jerome-who-attends-two-unfairly-hanged-1473.jpg,0.3319,0.5539,0.2426,2.304,1.3947
adain,000000135872__Expressionism__amedeo-modigliani_germaine-survage-with-earrings-1918.jpg,0.4024,0.6711,0.3145,2.4074,0.8657
adain,000000135872__High_Renaissance__raphael_madonna-and-child-enthroned-with-saints-1505.jpg,0.3963,0.4813,0.3564,2.0537,2.4969
adain,000000135872__Impressionism__pierre-auguste-renoir_leaving-the-bath-1890.jpg,0.3773,0.6442,0.3002,2.6952,0.8463
adain,000000135872__Mannerism_Late_Renaissance__tintoretto_st-mark-rescuing-a-saracen-from-shipwreck-1566.jpg,0.3136,0.5619,0.2556,2.3746,1.4538
adain,000000135872__Minimalism__mario-schifano_untitled-1963.jpg,0.3747,0.9267,0.383,3.0797,1.3567
adain,000000135872__Naive_Art_Primitivism__marc-chagall_the-young-samuel-the-priest-s-servant-heard-that-he-is-called-by-god-eli-and-he-were-sleeping.jpg,0.1523,0.6241,0.1023,2.6323,0.6729
adain,000000135872__Northern_Renaissance__albrecht-durer_lamentation-over-christ-1507.jpg,0.1615,0.6012,0.131,2.4272,2.139
adain,000000135872__Pop_Art__peter-max_composition-red-green-1979.jpg,0.3358,0.5474,0.4615,2.39,2.0722
adain,000000135872__Post_Impressionism__vincent-van-gogh_restaurant-de-la-sirene-at-asnieres-1887.jpg,0.1926,0.6432,0.1251,2.4738,1.8509
adain,000000135872__Realism__vincent-van-gogh_cottage-with-peasant-coming-home-1885(1).jpg,0.3263,0.5367,0.2678,2.319,0.5589
adain,000000135872__Rococo__dmitry-levitzky_portrait-of-baron-a-n-stroganoff.jpg,0.4533,0.5375,0.4723,2.4408,0.5184
adain,000000135872__Romanticism__gustave-dore_paradise-lost-4.jpg,0.317,0.5436,0.2071,2.3701,1.1796
adain,000000135872__Symbolism__nicholas-roerich_language-of-forest-1922.jpg,0.331,0.5914,0.2579,2.2833,1.3398
